ensembl_id	ensembl_strand	ensembl_bp_start	ensembl_bp_end	transcript_biotype	HGNC	ensembl_chromosome
ENSG00000173614	1	10003486	10045559	protein_coding+nonsense_mediated_decay+processed_transcript	NMNAT1	1
ENSG00000162444	1	10057264	10076078	protein_coding	RBP7	1
ENSG00000130939	1	10092890	10241297	protein_coding+processed_transcript	UBE4B	1
ENSG00000054523	1	10270764	10441661	protein_coding+processed_transcript	KIF1B	1
ENSG00000199562	1	10359024	10359130	snRNA	-	1
ENSG00000142657	1	10458649	10480233	processed_transcript+protein_coding	PGD	1
ENSG00000175279	1	10490159	10512210	protein_coding+processed_transcript	APITD1	1
ENSG00000160049	-1	10516579	10532583	protein_coding+processed_transcript	DFFA	1
ENSG00000142655	1	10532345	10690815	processed_transcript+protein_coding	PEX14	1
ENSG00000130940	-1	10696661	10856707	protein_coding+processed_transcript+retained_intron	CASZ1	1
ENSG00000175262	-1	11006528	11042094	retained_intron+protein_coding+processed_transcript+nonsense_mediated_decay	C1orf127	1
ENSG00000120948	1	11072414	11085796	processed_transcript+protein_coding+nonsense_mediated_decay	TARDBP	1
ENSG00000009724	-1	11086580	11107290	protein_coding+processed_transcript	MASP2	1
ENSG00000116649	-1	11114641	11120081	processed_transcript+protein_coding	SRM	1
ENSG00000171824	-1	11126675	11159938	protein_coding+processed_transcript	EXOSC10	1
ENSG00000198793	-1	11166592	11322608	protein_coding+processed_transcript	MTOR	1
ENSG00000171819	1	11249398	11256038	protein_coding+processed_transcript	ANGPTL7	1
ENSG00000238199	-1	11338673	11339408	processed_pseudogene	-	1
ENSG00000120942	1	11333263	11356106	protein_coding+processed_transcript	UBIAD1	1
ENSG00000204624	1	11539223	11597641	processed_transcript+protein_coding	PTCHD2	1
ENSG00000235643	1	11669588	11673412	lincRNA	-	1
ENSG00000116661	-1	11708424	11715842	protein_coding+processed_transcript	FBXO2	1
ENSG00000132879	1	11714432	11723384	protein_coding+processed_transcript	FBXO44	1
ENSG00000116663	1	11724181	11734411	protein_coding+processed_transcript	FBXO6	1
ENSG00000116670	-1	11734538	11751707	protein_coding	MAD2L2	1
ENSG00000162490	1	11751786	11785914	protein_coding	C1orf187	1
ENSG00000177674	1	11796141	11814859	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	AGTRAP	1
ENSG00000177000	-1	11845780	11866977	protein_coding	MTHFR	1
ENSG00000011021	1	11866207	11903201	protein_coding+processed_transcript	CLCN6	1
ENSG00000175206	-1	11905766	11908402	protein_coding	NPPA	1
ENSG00000120937	-1	11917521	11918988	protein_coding+processed_transcript	NPPB	1
ENSG00000116685	-1	11979648	11986485	protein_coding	KIAA2013	1
ENSG00000083444	1	11994262	12035599	processed_transcript+protein_coding	PLOD1	1
ENSG00000116688	1	12040238	12073571	processed_transcript+protein_coding	MFN2	1
ENSG00000116691	1	12079523	12092102	protein_coding+processed_transcript	MIIP	1
ENSG00000120949	1	12123434	12204264	protein_coding+nonsense_mediated_decay+processed_transcript	TNFRSF8	1
ENSG00000028137	1	12227060	12269285	protein_coding+processed_transcript	TNFRSF1B	1
ENSG00000048707	1	12290124	12572099	protein_coding+processed_transcript	VPS13D	1
ENSG00000162496	-1	12627939	12677737	protein_coding+processed_transcript	DHRS3	1
ENSG00000157330	1	12806163	12823847	protein_coding+processed_transcript	C1orf158	1
ENSG00000116726	1	12834984	12838049	protein_coding	PRAMEF12	1
ENSG00000162494	-1	13801445	13840543	protein_coding	LRRC38	1
ENSG00000162493	1	13909960	13944452	protein_coding+nonsense_mediated_decay	PDPN	1
ENSG00000116731	1	14026693	14151560	protein_coding+nonsense_mediated_decay+processed_transcript+ambiguous_orf	PRDM2	1
ENSG00000189337	1	14925200	15444539	protein_coding+retained_intron+processed_transcript	KAZN	1
ENSG00000171729	1	15479028	15546974	protein_coding	TMEM51	1
ENSG00000142621	1	15573768	15726858	nonsense_mediated_decay+protein_coding+processed_transcript+retained_intron	FHAD1	1
ENSG00000233485	-1	15653176	15670372	antisense	-	1
ENSG00000142634	1	15736391	15756839	protein_coding	EFHD2	1
ENSG00000162438	1	15764935	15775737	protein_coding+processed_transcript	CTRC	1
ENSG00000215704	1	15792404	15817895	processed_transcript+protein_coding	CELA2B	1
ENSG00000132906	-1	15817327	15853029	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	CASP9	1
ENSG00000116138	1	15853308	15918874	protein_coding+nonsense_mediated_decay+processed_transcript	DNAJC16	1
ENSG00000116771	-1	15898848	15911605	protein_coding	AGMAT	1
ENSG00000197312	1	15943995	15995539	protein_coding+retained_intron+nonsense_mediated_decay	DDI2	1
ENSG00000116786	1	16010827	16061264	protein_coding+processed_transcript	PLEKHM2	1
ENSG00000162461	1	16062900	16067891	protein_coding+processed_transcript	SLC25A34	1
ENSG00000162458	1	16083102	16113089	protein_coding+processed_transcript	FBLIM1	1
ENSG00000179743	-1	16160560	16174642	processed_transcript	-	1
ENSG00000065526	1	16174359	16266955	protein_coding+processed_transcript	SPEN	1
ENSG00000116809	-1	16268364	16302627	protein_coding+processed_transcript	ZBTB17	1
ENSG00000183888	1	16330731	16335302	protein_coding	C1orf64	1
ENSG00000173641	-1	16340523	16346089	protein_coding+retained_intron	HSPB7	1
ENSG00000184908	1	16370247	16383803	protein_coding	CLCNKB	1
ENSG00000142627	-1	16450832	16482582	protein_coding+processed_transcript	EPHA2	1
ENSG00000227959	1	16481706	16483824	antisense	-	1
ENSG00000142632	-1	16524349	16539140	processed_transcript+protein_coding	ARHGEF19	1
ENSG00000237276	-1	16542404	16543823	protein_coding+processed_transcript	ANO7L1	1
ENSG00000132881	-1	16555170	16563495	processed_transcript+protein_coding	RSG1	1
ENSG00000037637	-1	16573334	16678949	protein_coding+processed_transcript	FBXO42	1
ENSG00000055070	1	16679070	16724640	processed_transcript+protein_coding+nonsense_mediated_decay	C1orf144	1
ENSG00000187144	-1	16713612	16763919	protein_coding+processed_transcript	SPATA21	1
ENSG00000157191	1	16767167	16786573	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	NECAP2	1
ENSG00000080947	-1	16793931	16819196	unprocessed_pseudogene	CROCCP3	1
ENSG00000219481	-1	16888818	16940083	processed_transcript	NBPF1	1
ENSG00000215908	-1	16944751	16971178	processed_transcript	CROCCP2	1
ENSG00000186715	-1	17081405	17096732	nonsense_mediated_decay+protein_coding+retained_intron	MST1P9	1
ENSG00000058453	1	17222232	17299459	processed_transcript+protein_coding	CROCC	1
ENSG00000159363	-1	17312453	17338423	protein_coding+retained_intron+processed_transcript	ATP13A2	1
ENSG00000117118	-1	17345217	17380665	protein_coding+processed_transcript	SDHB	1
ENSG00000117115	-1	17393256	17445948	protein_coding+processed_transcript	PADI2	1
ENSG00000142623	1	17531621	17572500	protein_coding+processed_transcript	PADI1	1
ENSG00000142619	1	17575593	17610728	protein_coding	PADI3	1
ENSG00000159339	1	17634690	17690499	protein_coding+processed_transcript	PADI4	1
ENSG00000179051	-1	17733256	17766220	protein_coding+processed_transcript	RCC2	1
ENSG00000074964	1	17866330	18024369	protein_coding+processed_transcript	ARHGEF10L	1
ENSG00000117148	1	18081808	18153558	protein_coding	ACTL8	1
ENSG00000117154	1	18434240	18704977	protein_coding+processed_transcript	IGSF21	1
ENSG00000179023	1	18807424	18812534	protein_coding	KLHDC7A	1
ENSG00000235282	1	18839612	18839881	processed_pseudogene	-	1
ENSG00000009709	1	18957500	19075360	protein_coding	PAX7	1
ENSG00000179002	-1	19166093	19186176	protein_coding	TAS1R2	1
ENSG00000159423	-1	19197926	19229275	protein_coding	ALDH4A1	1
ENSG00000169991	-1	19230774	19283180	protein_coding	IFFO2	1
ENSG00000127481	-1	19401000	19536770	protein_coding+processed_transcript	UBR4	1
ENSG00000127463	-1	19542158	19578046	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	KIAA0090	1
ENSG00000053372	1	19578033	19586622	protein_coding+processed_transcript	MRTO4	1
ENSG00000162482	-1	19609052	19615744	protein_coding	AKR7A3	1
ENSG00000053371	-1	19630459	19638640	protein_coding+nonsense_mediated_decay+retained_intron	AKR7A2	1
ENSG00000040487	1	19638820	19655794	protein_coding+nonsense_mediated_decay	PQLC2	1
ENSG00000077549	-1	19665267	19812066	protein_coding+processed_transcript	CAPZB	1
ENSG00000173436	1	19923477	19956314	processed_transcript+protein_coding	MINOS1	1
ENSG00000158747	1	19967048	19984945	protein_coding	NBL1	1
ENSG00000158748	1	19991780	20006055	protein_coding	HTR6	1
ENSG00000162542	-1	20008706	20126438	protein_coding+processed_transcript	TMCO4	1
ENSG00000178828	-1	20140523	20141771	protein_coding	RNF186	1
ENSG00000169914	1	20209006	20239438	protein_coding+processed_transcript	OTUD3	1
ENSG00000188784	-1	20246502	20250110	protein_coding	PLA2G2E	1
ENSG00000188257	-1	20301925	20306932	processed_transcript+protein_coding	PLA2G2A	1
ENSG00000127472	1	20354672	20417683	processed_transcript+protein_coding	PLA2G5	1
ENSG00000117215	-1	20438432	20446050	protein_coding	PLA2G2D	1
ENSG00000158786	1	20465819	20476879	protein_coding+retained_intron	PLA2G2F	1
ENSG00000225986	-1	20510735	20512979	antisense	-	1
ENSG00000162543	1	20512578	20522541	protein_coding	UBXN10	1
ENSG00000158816	1	20617412	20681387	nonsense_mediated_decay+protein_coding+processed_transcript	VWA5B1	1
ENSG00000236963	-1	20687072	20757727	lincRNA	-	1
ENSG00000162545	-1	20808884	20812713	protein_coding+processed_transcript	CAMK2N1	1
ENSG00000090432	-1	20825943	20834654	protein_coding	MUL1	1
ENSG00000183114	1	20878932	20881512	protein_coding	FAM43B	1
ENSG00000158825	1	20915441	20945401	protein_coding+processed_transcript	CDA	1
ENSG00000158828	1	20959948	20978004	protein_coding+processed_transcript	PINK1	1
ENSG00000244038	-1	20978270	20988000	protein_coding+processed_transcript	DDOST	1
ENSG00000117245	-1	20990507	21044510	protein_coding+processed_transcript	KIF17	1
ENSG00000189410	-1	21046225	21059330	protein_coding+processed_transcript	SH2D5	1
ENSG00000203394	1	21069480	21070455	antisense	-	1
ENSG00000127483	-1	21069154	21113816	protein_coding+processed_transcript	HP1BP3	1
ENSG00000075151	-1	21132972	21503377	protein_coding+processed_transcript	EIF4G3	1
ENSG00000117298	-1	21543740	21671997	protein_coding+retained_intron+processed_transcript	ECE1	1
ENSG00000142794	1	21766621	21811498	processed_transcript+protein_coding	NBPF3	1
ENSG00000162551	1	21835858	21904905	protein_coding+processed_transcript	ALPL	1
ENSG00000076864	-1	21922708	21995856	nonsense_mediated_decay+protein_coding+processed_transcript	RAP1GAP	1
ENSG00000090686	-1	22004791	22110099	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	USP48	1
ENSG00000142798	-1	22148738	22263790	processed_transcript+protein_coding+nonsense_mediated_decay	HSPG2	1
ENSG00000219073	1	22303514	22325135	protein_coding+processed_transcript	CELA3B	1
ENSG00000142789	1	22328149	22339032	protein_coding	CELA3A	1
ENSG00000228397	-1	22350487	22351461	lincRNA	-	1
ENSG00000218510	1	22351681	22357716	lincRNA	LINC00339	1
ENSG00000230068	1	22385690	22390692	sense_intronic	CDC42-IT1	1
ENSG00000070831	1	22379120	22419437	protein_coding+processed_transcript	CDC42	1
ENSG00000162552	-1	22446461	22470462	protein_coding	WNT4	1
ENSG00000184677	1	22778344	22857650	protein_coding	ZBTB40	1
ENSG00000070886	1	22890057	22930087	protein_coding	EPHA8	1
ENSG00000173372	1	22962999	22966175	protein_coding	C1QA	1
ENSG00000159189	1	22970123	22974603	protein_coding	C1QC	1
ENSG00000173369	1	22979255	22988031	protein_coding	C1QB	1
ENSG00000133216	1	23037332	23241818	protein_coding+processed_transcript	EPHB2	1
ENSG00000227868	-1	23337327	23340538	antisense	-	1
ENSG00000004487	1	23345941	23410182	protein_coding+processed_transcript	KDM1A	1
ENSG00000169641	-1	23410516	23504301	protein_coding	LUZP1	1
ENSG00000179546	-1	23516993	23521222	protein_coding	HTR1D	1
ENSG00000125944	-1	23630264	23670829	processed_transcript+protein_coding	HNRNPR	1
ENSG00000125945	-1	23685941	23695935	protein_coding	ZNF436	1
ENSG00000249087	1	23695490	23698332	processed_transcript+protein_coding	C1orf213	1
ENSG00000204219	-1	23707554	23751233	protein_coding+processed_transcript	TCEA3	1
ENSG00000088280	-1	23750352	23810750	nonsense_mediated_decay+protein_coding+processed_transcript+retained_intron	ASAP3	1
ENSG00000007968	-1	23832922	23857712	protein_coding+processed_transcript	E2F2	1
ENSG00000117318	-1	23884409	23886285	protein_coding+processed_transcript	ID3	1
ENSG00000197880	1	23907985	23967058	processed_transcript+protein_coding	MDS2	1
ENSG00000142676	1	24018269	24022915	protein_coding+processed_transcript	RPL11	1
ENSG00000203589	-1	24032291	24033424	processed_pseudogene	-	1
ENSG00000011007	1	24069645	24088549	protein_coding+processed_transcript	TCEB3	1
ENSG00000236810	-1	24086872	24104777	antisense	-	1
ENSG00000057757	1	24104895	24114722	protein_coding	PITHD1	1
ENSG00000011009	1	24117460	24122029	protein_coding+processed_transcript	LYPLA2	1
ENSG00000117308	-1	24122089	24127271	processed_transcript+protein_coding	GALE	1
ENSG00000117305	-1	24128375	24165110	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	HMGCL	1
ENSG00000179163	-1	24171567	24194784	protein_coding	FUCA1	1
ENSG00000188822	-1	24197016	24285549	protein_coding	CNR2	1
ENSG00000142661	-1	24382525	24438665	protein_coding+processed_transcript	MYOM3	1
ENSG00000142677	-1	24446261	24469611	protein_coding	IL22RA1	1
ENSG00000185436	-1	24480647	24514449	protein_coding	IL28RA	1
ENSG00000230023	1	24526730	24538183	processed_transcript	-	1
ENSG00000158055	1	24645812	24690972	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	GRHL3	1
ENSG00000001460	-1	24683489	24743424	protein_coding+processed_transcript	C1orf201	1
ENSG00000001461	1	24742284	24799466	protein_coding+processed_transcript	NIPAL3	1
ENSG00000117602	1	24829387	24863506	protein_coding+nonsense_mediated_decay	RCAN3	1
ENSG00000133226	1	24958207	24999758	processed_transcript+protein_coding	SRRM1	1
ENSG00000169504	1	25071848	25170815	protein_coding+nonsense_mediated_decay+processed_transcript	CLIC4	1
ENSG00000020633	-1	25226002	25291612	protein_coding+processed_transcript	RUNX3	1
ENSG00000233419	-1	25451544	25451945	processed_pseudogene+retrotransposed	-	1
ENSG00000117614	-1	25549170	25558993	protein_coding+processed_transcript	SYF2	1
ENSG00000117616	-1	25568740	25594327	processed_transcript+protein_coding	C1orf63	1
ENSG00000187010	1	25598981	25656936	protein_coding+nonsense_mediated_decay	RHD	1
ENSG00000183726	1	25664408	25688852	protein_coding+processed_transcript	TMEM50A	1
ENSG00000188672	-1	25688741	25756683	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	RHCE	1
ENSG00000204178	1	25757388	25826700	protein_coding+processed_transcript	TMEM57	1
ENSG00000157978	1	25870071	25895377	protein_coding+processed_transcript	LDLRAP1	1
ENSG00000233478	-1	25971035	25985602	antisense	-	1
ENSG00000117643	1	25943959	26112698	protein_coding+processed_transcript	MAN1C1	1
ENSG00000162430	1	26126667	26144713	protein_coding+processed_transcript	SEPN1	1
ENSG00000117640	1	26145131	26159432	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	FAM54B	1
ENSG00000127423	-1	26158414	26185903	processed_transcript+protein_coding	C1orf135	1
ENSG00000182749	-1	26187701	26197744	protein_coding	PAQR7	1
ENSG00000117632	-1	26210672	26233482	processed_transcript+protein_coding	STMN1	1
ENSG00000158006	-1	26286258	26324648	protein_coding+processed_transcript	PAFAH2	1
ENSG00000158008	1	26346375	26362955	processed_transcript+protein_coding	EXTL1	1
ENSG00000158014	-1	26363743	26372624	protein_coding+processed_transcript	SLC30A2	1
ENSG00000158022	-1	26377795	26394927	protein_coding+processed_transcript	TRIM63	1
ENSG00000175087	1	26437664	26452034	protein_coding	PDIK1L	1
ENSG00000197245	1	26485511	26489119	protein_coding	GRRP1	1
ENSG00000142684	1	26496362	26498551	protein_coding	ZNF593	1
ENSG00000142675	1	26503894	26516377	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	CNKSR1	1
ENSG00000236155	1	26536232	26556331	transcribed_unprocessed_pseudogene+processed_transcript	-	1
ENSG00000130695	1	26560691	26605299	nonsense_mediated_decay+protein_coding+processed_transcript	CEP85	1
ENSG00000142669	1	26605667	26608007	protein_coding	SH3BGRL3	1
ENSG00000158062	-1	26607819	26644854	protein_coding+retained_intron+nonsense_mediated_decay	UBXN11	1
ENSG00000169442	1	26644448	26647014	protein_coding+processed_transcript	CD52	1
ENSG00000176092	-1	26648350	26680621	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	AIM1L	1
ENSG00000176083	-1	26688125	26701013	protein_coding	ZNF683	1
ENSG00000131914	1	26737269	26756213	protein_coding	LIN28A	1
ENSG00000117682	1	26758773	26797785	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	DHDDS	1
