Ensembl Gene ID	Strand	Gene Start (bp)	Gene End (bp)	Gene Biotype	HGNC symbol	Chromosome Name
ENSG00000224356	-1	101187995	101232371	sense_intronic		13
ENSG00000271026	1	28641724	28642471	pseudogene	KATNBL1P1	13
ENSG00000235115	1	28681568	28682014	pseudogene	CHCHD2P8	13
ENSG00000234354	-1	101192089	101192528	pseudogene	RPS26P47	13
ENSG00000261485	-1	28710980	28712330	antisense	PAN3-AS1	13
ENSG00000237082	-1	101276129	101276683	pseudogene	COX5BP6	13
ENSG00000232587	1	28788650	28790034	pseudogene	EEF1A1P3	13
ENSG00000200840	1	28806638	28806744	snRNA	RNU6-82P	13
ENSG00000233009	1	101360579	101711638	antisense	NALCN-AS1	13
ENSG00000235472	1	29172970	29174189	pseudogene	EIF4A1P7	13
ENSG00000202237	-1	29277839	29277944	snRNA	RNU6-53P	13
ENSG00000214051	-1	101408805	101409313	pseudogene	ARF4P3	13
ENSG00000233588	-1	29296523	29298158	pseudogene	CYP51A1P2	13
ENSG00000229599	-1	101593116	101596618	lincRNA	LINC00411	13
ENSG00000236339	1	29352695	29353074	pseudogene	POM121L13P	13
ENSG00000272349	-1	102369198	102369728	lincRNA		13
ENSG00000221670	1	29796699	29796778	miRNA		13
ENSG00000201155	-1	102431234	102431398	snRNA	RNU1-24P	13
ENSG00000236758	-1	29813516	29824691	antisense	MTUS2-AS2	13
ENSG00000215399	1	102454228	102454838	pseudogene	HMGB3P7	13
ENSG00000265164	-1	102619992	102620096	miRNA	MIR2681	13
ENSG00000223460	1	29880915	29881922	pseudogene	GAPDHP69	13
ENSG00000229975	1	102654475	102655660	pseudogene	LIPT1P1	13
ENSG00000270680	-1	29913703	29914006	pseudogene		13
ENSG00000201690	-1	102669303	102669419	misc_RNA	RNY1P2	13
ENSG00000179141	-1	30050652	30064242	antisense	MTUS2-AS1	13
ENSG00000264482	-1	102698284	102698354	miRNA	MIR4705	13
ENSG00000236860	-1	102915396	102915552	pseudogene	RPL39P29	13
ENSG00000236258	-1	30440096	30440306	pseudogene	TIMM8BP1	13
ENSG00000224329	-1	30446750	30462542	lincRNA	LINC00297	13
ENSG00000243319	-1	102944677	103046869	lincRNA	FGF14-IT1	13
ENSG00000224405	-1	30492784	30500788	antisense	LINC00572	13
ENSG00000234445	1	103019889	103026016	antisense	FGF14-AS1	13
ENSG00000122043	1	30510042	30524625	lincRNA	LINC00544	13
ENSG00000272143	1	103046980	103048053	lincRNA	FGF14-AS2	13
ENSG00000266505	-1	30596158	30597937	lincRNA		13
ENSG00000270581	-1	103053821	103054807	processed_transcript		13
ENSG00000261057	-1	103241722	103242163	antisense	LINC00555	13
ENSG00000224511	-1	30677315	30683012	lincRNA	LINC00365	13
ENSG00000269942	1	103331776	103332308	lincRNA		13
ENSG00000232117	-1	30726023	30733758	lincRNA	LINC00384	13
ENSG00000238869	1	103374152	103374255	snoRNA		13
ENSG00000231633	1	103395340	103397574	antisense	LINC00283	13
ENSG00000232643	1	30728203	30728723	lincRNA	LINC00385	13
ENSG00000222301	1	103472343	103472419	misc_RNA	RNY5P8	13
ENSG00000266816	-1	30780753	30780836	miRNA		13
ENSG00000252928	1	30855902	30856006	snRNA	RNU6-64P	13
ENSG00000250878	1	103532449	103548383	pseudogene	METTL21EP	13
ENSG00000215049	1	30870284	30870872	pseudogene	PRDX2P1	13
ENSG00000272542	1	103541208	103542184	lincRNA		13
ENSG00000236463	-1	30890497	30894040	lincRNA	LINC00427	13
ENSG00000234551	1	104077550	104080035	lincRNA		13
ENSG00000230474	-1	104096970	104097318	pseudogene	ATP6V1G1P7	13
ENSG00000225823	1	105466678	105467420	pseudogene	RPL7P45	13
ENSG00000232307	-1	106111404	106158030	antisense	DAOA-AS1	13
ENSG00000238121	-1	30914407	30951282	lincRNA	LINC00426	13
ENSG00000226620	1	106356629	106416789	processed_transcript	LINC00343	13
ENSG00000225039	-1	30993656	30996374	lincRNA	LINC01058	13
ENSG00000252550	-1	106549872	106549992	snoRNA		13
ENSG00000236444	1	31002084	31002656	pseudogene	UBE2L5P	13
ENSG00000222643	1	106780720	106780837	miRNA		13
ENSG00000222682	-1	106807721	106807839	rRNA	RNA5SP38	13
ENSG00000213411	-1	31113734	31117598	pseudogene	RBM22P2	13
ENSG00000233532	1	107028911	107030565	lincRNA	LINC00460	13
ENSG00000232489	-1	31115780	31117034	pseudogene	MFAP1P1	13
ENSG00000174418	1	107078121	107078470	pseudogene	RPL35P9	13
ENSG00000224117	1	31127807	31128830	pseudogene	PTPN2P2	13
ENSG00000272274	1	107270158	107283707	lincRNA	LINC00551	13
ENSG00000230156	1	107306264	107324511	lincRNA	LINC00443	13
ENSG00000237879	1	31377343	31384782	lincRNA	LINC00398	13
ENSG00000227590	1	107315785	107316195	pseudogene	ATP5G1P5	13
ENSG00000174408	-1	107516164	107516634	pseudogene	PPIAP24	13
ENSG00000224743	-1	31456070	31507983	antisense	TEX26-AS1	13
ENSG00000196777	-1	107594562	107594907	pseudogene		13
ENSG00000239050	-1	107627286	107627374	miRNA		13
ENSG00000221316	1	107773381	107773471	miRNA		13
ENSG00000201847	-1	107973243	107973311	snoRNA		13
ENSG00000221650	-1	108183519	108183596	miRNA	MIR1267	13
ENSG00000221473	1	108288379	108288464	miRNA		13
ENSG00000227248	-1	108440690	108487799	sense_intronic	FAM155A-IT1	13
ENSG00000223177	-1	108953560	108953679	rRNA	RNA5SP39	13
ENSG00000232087	1	109132574	109134165	pseudogene	HCFC2P1	13
ENSG00000229938	-1	109753609	109754267	antisense	MYO16-AS2	13
ENSG00000236094	1	31456688	31457532	lincRNA	LINC00545	13
ENSG00000236242	-1	109816250	109853831	antisense	MYO16-AS1	13
ENSG00000238185	-1	31547426	31551760	antisense		13
ENSG00000223617	1	109934321	109940081	lincRNA	LINC00370	13
ENSG00000230233	1	19986749	20022678	lincRNA		21
ENSG00000230403	-1	31569299	31570275	lincRNA	LINC01066	13
ENSG00000236053	1	109962483	109964121	lincRNA	LINC01067	13
ENSG00000265841	-1	20058408	20058482	miRNA	MIR548X	21
ENSG00000231894	1	31651391	31689836	pseudogene	WDR95P	13
ENSG00000229792	1	110053043	110053988	lincRNA	LINC00399	13
ENSG00000221041	-1	20076689	20076772	miRNA		21
ENSG00000234854	1	110380629	110382354	antisense	LINC00676	13
ENSG00000198618	1	20230097	20230594	pseudogene	PPIAP22	21
ENSG00000229427	1	31885426	31887058	pseudogene	ANKRD26P4	13
ENSG00000255813	-1	110407168	110407615	pseudogene		13
ENSG00000201161	1	110567443	110567767	misc_RNA	RN7SKP10	13
ENSG00000231428	1	110705632	110707299	lincRNA	LINC00396	13
ENSG00000232193	-1	20290252	20308177	lincRNA		21
ENSG00000229715	1	32420978	32527609	pseudogene	EEF1DP3	13
ENSG00000226204	-1	20325582	20339376	lincRNA		21
ENSG00000265885	-1	110750200	110750498	misc_RNA	RN7SL783P	13
ENSG00000238629	1	111066552	111066653	snoRNA		13
ENSG00000235965	-1	20418629	20420003	lincRNA		21
ENSG00000224821	-1	111108743	111115634	antisense	COL4A2-AS2	13
ENSG00000235822	1	32559822	32565134	lincRNA	LINC01073	13
ENSG00000229289	1	20502841	20506741	lincRNA		21
ENSG00000237637	-1	32599451	32605776	antisense	FRY-AS1	13
ENSG00000232814	-1	111154922	111160526	antisense	COL4A2-AS1	13
ENSG00000226818	1	20616860	20618709	pseudogene	SLC6A6P1	21
ENSG00000230633	1	32872291	32872849	antisense		13
ENSG00000255831	1	111291555	111292340	pseudogene		13
ENSG00000231620	1	20673930	20676056	lincRNA		21
ENSG00000215515	1	32958797	32960245	pseudogene	IFIT1P1	13
ENSG00000225239	-1	111415021	111415480	pseudogene	RPL21P107	13
ENSG00000212609	1	20717465	20717629	snRNA	RNU1-139P	21
ENSG00000259831	-1	111462023	111465431	lincRNA	LINC00567	13
ENSG00000212293	-1	32994527	32994653	snoRNA		13
ENSG00000230198	1	20966155	20966422	pseudogene	RPL37P4	21
ENSG00000270008	-1	32999495	33007091	processed_transcript		13
ENSG00000229152	-1	111547406	111551519	sense_intronic	ANKRD10-IT1	13
ENSG00000271486	1	20993009	20993859	pseudogene		21
ENSG00000229336	1	21112023	21112464	pseudogene		21
ENSG00000229800	1	33051411	33052978	pseudogene	ATP8A2P2	13
ENSG00000227105	1	111589106	111592131	pseudogene	PARP1P1	13
ENSG00000215353	-1	21131673	21132442	pseudogene	C1QBPP	21
ENSG00000233480	-1	21265593	21272069	lincRNA		21
ENSG00000225760	1	111635654	111642911	lincRNA	LINC00431	13
ENSG00000233236	-1	21629065	21631133	lincRNA		21
ENSG00000225870	1	111748185	111755444	lincRNA	LINC00368	13
ENSG00000251851	-1	21728060	21728164	snRNA	RNU6-772P	21
ENSG00000252963	1	21728965	21729208	misc_RNA	RN7SKP147	21
ENSG00000235875	-1	111766159	111768025	antisense	ARHGEF7-AS2	13
ENSG00000207325	-1	33337576	33337690	misc_RNA	RNY1P4	13
ENSG00000233676	1	21760646	21761157	pseudogene	FDPSP6	21
ENSG00000226968	-1	33451569	33485788	lincRNA	LINC00423	13
ENSG00000233644	1	111774999	111796611	sense_intronic	ARHGEF7-IT1	13
ENSG00000234439	-1	21797261	21798518	pseudogene	KRT18P2	21
ENSG00000227352	-1	111796652	111797080	antisense	ARHGEF7-AS1	13
ENSG00000227604	-1	33528195	33528539	pseudogene	TOMM22P3	13
ENSG00000233206	-1	21802755	21803074	pseudogene	RPS3AP1	21
ENSG00000221677	1	33615489	33615580	miRNA		13
ENSG00000215881	1	112248356	112294426	sense_overlapping		13
ENSG00000230300	-1	33732724	33738546	sense_intronic	STARD13-IT1	13
ENSG00000226903	1	112554299	112555490	lincRNA	LINC00354	13
ENSG00000224924	-1	22114908	22175534	lincRNA	LINC00320	21
ENSG00000264989	-1	112563079	112563148	miRNA		13
ENSG00000200072	1	112706392	112706452	snoRNA		13
ENSG00000260385	1	112737863	112739785	lincRNA		13
ENSG00000229520	-1	112760409	112761196	lincRNA	LINC00404	13
ENSG00000215351	-1	22200445	22200940	pseudogene	PPIAP1	21
ENSG00000224243	1	112761433	112762329	lincRNA	LINC00403	13
ENSG00000226771	-1	22595616	22599150	antisense		21
ENSG00000260102	1	112851664	112855314	lincRNA	LINC01070	13
ENSG00000221210	-1	22770068	22770146	miRNA		21
ENSG00000234730	1	22939084	22987758	lincRNA		21
ENSG00000260343	1	112967781	112976072	lincRNA	LINC01043	13
ENSG00000198434	-1	23006773	23007049	pseudogene		21
ENSG00000223626	-1	112976881	112985539	lincRNA	LINC01044	13
ENSG00000237527	-1	23027359	23058649	lincRNA		21
ENSG00000264726	-1	113372159	113372228	miRNA		13
ENSG00000232684	-1	113399763	113409007	antisense	ATP11A-AS1	13
ENSG00000238265	-1	23095613	23109639	lincRNA	LINC00317	21
ENSG00000234603	1	113539551	113539994	pseudogene		13
ENSG00000236581	1	33845516	33855471	processed_transcript	STARD13-AS	13
ENSG00000267868	-1	113619149	113620445	lincRNA		13
ENSG00000188403	-1	20169919	20170354	IG_V_gene	IGHV1OR15-9	15
ENSG00000235280	-1	113621798	113623138	antisense	MCF2L-AS1	13
ENSG00000269356	1	113663092	113663738	sense_intronic		13
ENSG00000233997	1	23119293	23169735	lincRNA		21
ENSG00000269376	1	113663985	113664633	sense_intronic		13
ENSG00000231882	-1	113782469	113783194	antisense	F10-AS1	13
ENSG00000230371	1	113784730	113786368	pseudogene	KARSP2	13
ENSG00000259490	-1	20192909	20193370	IG_V_gene	IGHV3OR15-7	15
ENSG00000269125	-1	113819316	113819497	antisense		13
ENSG00000227075	-1	23305635	23348000	lincRNA		21
ENSG00000232662	1	113930931	113932049	pseudogene	LDHBP1	13
ENSG00000270961	-1	20209093	20209115	IG_D_gene	IGHD5OR15-5A	15
ENSG00000225083	1	114005988	114016183	antisense	GRTP1-AS1	13
ENSG00000233215	-1	23381263	23470778	lincRNA		21
ENSG00000233613	1	114123216	114130450	antisense	DCUN1D2-AS	13
ENSG00000271317	-1	20210050	20210068	IG_D_gene	IGHD4OR15-4A	15
ENSG00000202347	-1	114133230	114133393	snRNA	RNU1-16P	13
ENSG00000227208	-1	114451484	114454062	pseudogene	LINC00552	13
ENSG00000270783	-1	20211158	20211188	IG_D_gene	IGHD3OR15-3A	15
ENSG00000233695	1	114518603	114542321	antisense	GAS6-AS1	13
ENSG00000271197	-1	20213655	20213685	IG_D_gene	IGHD2OR15-2A	15
ENSG00000272695	1	114567141	114569806	lincRNA	GAS6-AS2	13
ENSG00000184856	1	23470936	23488847	lincRNA	LINC00308	21
ENSG00000227911	-1	33907816	33909414	lincRNA		13
ENSG00000237699	1	114580581	114582349	lincRNA		13
ENSG00000271336	-1	20216406	20216422	IG_D_gene	IGHD1OR15-1A	15
ENSG00000264288	-1	33911020	33911109	miRNA		13
ENSG00000265259	-1	21852889	21853170	misc_RNA	RN7SL247P	18
ENSG00000234340	-1	23507018	23508403	pseudogene		21
ENSG00000230490	-1	33929343	34250905	lincRNA		13
ENSG00000212051	1	21901650	21901699	miRNA	MIR320C2	18
ENSG00000226921	-1	114581673	114586624	lincRNA	LINC00454	13
ENSG00000264365	1	21944751	21947948	antisense		18
ENSG00000273321	1	21982117	21982678	lincRNA		18
ENSG00000234535	1	34185104	34185659	lincRNA		13
ENSG00000232986	1	34231573	34234065	lincRNA		13
ENSG00000199636	1	22009469	22009573	misc_RNA		18
ENSG00000265094	1	22015328	22019602	sense_intronic		18
ENSG00000252397	-1	34403676	34403786	snRNA	RNU5A-4P	13
ENSG00000263663	1	34486129	34486218	miRNA		13
ENSG00000227254	-1	34656566	34657447	pseudogene	VDAC1P12	13
ENSG00000229373	1	114586640	114626485	lincRNA	LINC00452	13
ENSG00000199196	-1	34674848	34674975	snoRNA		13
ENSG00000215405	-1	20737094	20747114	protein_coding	GOLGA6L6	15
ENSG00000271850	1	34922180	35188307	lincRNA		13
ENSG00000225179	-1	35009587	35214822	lincRNA	LINC00457	13
ENSG00000231136	-1	23526270	23526619	pseudogene		21
ENSG00000260910	-1	114629487	114631817	lincRNA	LINC00565	13
ENSG00000271901	-1	35120066	35245319	lincRNA		13
ENSG00000202339	1	23577511	23577651	snRNA	RNU4-45P	21
ENSG00000232487	-1	114873044	114874295	sense_intronic	RASA3-IT1	13
ENSG00000226043	1	23582258	23793139	lincRNA		21
ENSG00000231910	-1	35148341	35148803	pseudogene	GAMTP2	13
ENSG00000264539	1	115009980	115010036	miRNA	MIR548AR	13
ENSG00000261728	-1	35499971	35502213	lincRNA		13
ENSG00000223488	-1	23808610	23810669	pseudogene	MAPK6PS2	21
ENSG00000265450	1	115039303	115039383	miRNA	MIR4502	13
ENSG00000232795	1	35759431	35760816	pseudogene	SCAND3P1	13
ENSG00000226158	1	115072121	115072541	pseudogene	CLCP2	13
ENSG00000234835	1	35825207	35825966	pseudogene	PHBP13	13
ENSG00000229723	-1	115095034	115099423	antisense	LINC01054	13
ENSG00000268343	1	21004687	21005367	protein_coding		15
ENSG00000221519	-1	36068551	36068674	miRNA		13
ENSG00000236036	1	36271661	36273393	lincRNA	LINC00445	13
ENSG00000207203	1	36841305	36841411	snRNA	RNU6-71P	13
ENSG00000169861	1	10862622	10863067	IG_V_gene	IGHV1OR21-1	21
ENSG00000266047	1	36929928	36930015	miRNA		13
ENSG00000223383	-1	37064215	37064578	pseudogene	HIST1H2APS6	13
ENSG00000222602	-1	37302739	37302829	miRNA		13
ENSG00000235306	1	37314178	37315000	pseudogene	GAPDHP34	13
ENSG00000223543	-1	37316015	37316602	pseudogene	TCEAL4P1	13
ENSG00000215486	1	37363469	37369187	pseudogene	ARL2BPP3	13
ENSG00000230031	-1	21040701	21071643	protein_coding	POTEB2	15
ENSG00000271337	-1	37378335	37379439	pseudogene	NDE1P2	13
ENSG00000236711	-1	37423503	37424183	sense_intronic	SMAD9-AS1	13
ENSG00000228825	1	37496676	37497045	pseudogene	LAMTOR3P1	13
ENSG00000232378	-1	37500575	37501356	pseudogene	RPL29P28	13
ENSG00000226161	-1	37512537	37513631	pseudogene	EIF4A1P5	13
ENSG00000221100	-1	37608814	37608929	miRNA		13
ENSG00000202395	-1	37740489	37740795	misc_RNA	RN7SKP1	13
ENSG00000230283	-1	37794997	37795383	pseudogene	RPS12P24	13
ENSG00000234034	-1	23872924	23892377	lincRNA		21
ENSG00000230390	-1	38055604	38058906	lincRNA	LINC01048	13
ENSG00000263796	1	24052992	24053286	misc_RNA	RN7SL609P	21
ENSG00000199276	-1	38428989	38429107	rRNA	RNA5SP26	13
ENSG00000225906	1	24254903	24256321	pseudogene		21
ENSG00000228036	-1	38567222	38568857	pseudogene	HSPD1P9	13
ENSG00000230972	1	24437813	24503528	lincRNA		21
ENSG00000223685	-1	38624954	38717369	lincRNA	LINC00571	13
ENSG00000219368	-1	24462350	24464153	pseudogene	ZNF299P	21
ENSG00000236354	-1	39107480	39119436	lincRNA	LINC00437	13
ENSG00000231058	1	24473545	24475396	pseudogene	MSANTD2P1	21
ENSG00000229437	1	39150777	39153131	lincRNA	LINC00366	13
ENSG00000223078	-1	24654058	24654231	snRNA	RNU2-55P	21
ENSG00000234701	-1	39191556	39192077	pseudogene	PRDX3P3	13
ENSG00000228592	-1	24733426	24757182	lincRNA		21
ENSG00000252795	1	39353561	39353653	snRNA	RNU6-56P	13
