Locus	Nr of genes in locus	Chromosome and position	GWAS P value	Ensembl gene ID	Gene symbol	Nominal P value	Gene closest to lead SNP	Top cis eQTL SNP (Westra et al. Nature Genetics 2014)	False discovery rate
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000187664	HAPLN4	0.19	false	-	> 0.20
rs287227;rs2479409;rs11206510;rs557435;rs6662286;rs2270690;rs9436961;rs2047419	3	chr1:55505221-55683124	1.93e-28	ENSG00000169174	PCSK9	0.20	true	-	> 0.20
rs12916	3	chr5:74632154-74896969	5.12e-45	ENSG00000113161	HMGCR	0.20	true	rs6453133	> 0.20
rs2807834;rs12132819	3	chr1:220921567-221005771	5.62e-11	ENSG00000117791	MOSC2	0.21	false	-	> 0.20
rs4420638;rs395908;rs7254892;rs4803763;rs6859;rs405509;rs2972564	4	chr19:45349393-45422606	8.72e-147	ENSG00000130202	PVRL2	0.22	true	rs11879589;rs11672399	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000234608	C12orf47	0.23	false	-	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000181754	AMIGO1	0.23	false	-	> 0.20
rs909802	5	chr20:39657458-39989222	3.18e-19	ENSG00000132793	LPIN3	0.24	false	rs6072412	> 0.20
rs12916	3	chr5:74632154-74896969	5.12e-45	ENSG00000113163	COL4A3BP	0.25	false	rs6896136	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000111300	NAA25	0.26	false	rs16941724	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000116299	KIAA1324	0.27	false	rs565751	> 0.20
rs4420638;rs395908;rs7254892;rs4803763;rs6859;rs405509;rs2972564	4	chr19:45349393-45422606	8.72e-147	ENSG00000130204	TOMM40	0.27	true	-	> 0.20
rs217386	3	chr7:44605016-44748665	4.24e-11	ENSG00000105953	OGDH	0.27	false	rs10951768;rs10951768	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000129933	MAU2	0.28	false	rs2301668	> 0.20
rs12721109;rs5158	3	chr19:45445495-45541452	1.08e-72	ENSG00000104853	CLPTM1	0.28	false	rs10409727	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000105717	PBX4	0.29	false	rs12611058	> 0.20
rs3757354	1	chr6:16129356-16148479	1.16e-11	ENSG00000007944	MYLIP	0.29	true	rs2021900	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000111252	SH2B3	0.29	false	rs2239195	> 0.20
rs964184;rs4417316	4	chr11:116618886-116663136	1.47e-26	ENSG00000109917	ZNF259	0.30	true	-	> 0.20
rs11881315;rs11085745	2	chr19:10824143-10946983	1.12e-27	ENSG00000079805	DNM2	0.30	true	-	> 0.20
rs11136341	4	chr8:144989321-145101933	4.44e-13	ENSG00000178719	GRINA	0.31	false	rs6995402;rs11136343	> 0.20
rs6511720;rs5930;rs6511718;rs12983316;rs2738456	5	chr19:10982253-11244492	4.28e-117	ENSG00000127616	SMARCA4	0.32	true	rs12232780	> 0.20
rs6511720;rs5930;rs6511718;rs12983316;rs2738456	5	chr19:10982253-11244492	4.28e-117	ENSG00000142444	C19orf52	0.33	false	rs11085752	> 0.20
rs11153594	1	chr6:116262693-116381921	2.95e-09	ENSG00000111816	FRK	0.33	true	-	> 0.20
rs2954022;rs17405319	1	chr8:126442563-126450647	2.59e-29	ENSG00000173334	TRIB1	0.33	true	rs4360309	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000105705	SUGP1	0.34	true	-	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000179295	PTPN11	0.35	false	-	> 0.20
rs1367117;rs515135;rs11902417;rs6725189;rs10198175;rs4128553;rs12720842;rs7569093;rs7566040;rs6739502;rs531593;rs13027175;rs6413458	4	chr2:20883803-21784185	4.48e-114	ENSG00000231204	-	0.36	true	-	> 0.20
rs4299376;rs4953023;rs4148218;rs1025447;rs4131228	4	chr2:43864412-44105605	1.73e-47	ENSG00000138036	DYNC2LI1	0.36	true	rs11695056	> 0.20
rs3745157	5	chr19:45582530-45685057	1.05e-15	ENSG00000179846	NKPD1	0.37	false	-	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000204842	ATXN2	0.37	true	rs3809278	> 0.20
rs1367117;rs515135;rs11902417;rs6725189;rs10198175;rs4128553;rs12720842;rs7569093;rs7566040;rs6739502;rs531593;rs13027175;rs6413458	4	chr2:20883803-21784185	4.48e-114	ENSG00000084674	APOB	0.37	true	-	> 0.20
rs3850634	4	chr1:62901968-63176365	2.63e-18	ENSG00000116641	DOCK7	0.38	false	rs11207957	> 0.20
rs174583	4	chr11:61520114-61647626	1.17e-21	ENSG00000149485	FADS1	0.38	false	rs968567	> 0.20
rs4420638;rs395908;rs7254892;rs4803763;rs6859;rs405509;rs2972564	4	chr19:45349393-45422606	8.72e-147	ENSG00000130203	APOE	0.38	true	-	> 0.20
rs11136341	4	chr8:144989321-145101933	4.44e-13	ENSG00000178685	PARP10	0.40	false	rs11136343	> 0.20
rs6511720;rs5930;rs6511718;rs12983316;rs2738456	5	chr19:10982253-11244492	4.28e-117	ENSG00000130164	LDLR	0.40	true	rs12459603	> 0.20
rs10043960;rs7700719	1	chr5:74323289-74326724	8.19e-10	ENSG00000176928	GCNT4	0.40	true	-	> 0.20
rs2327951	1	chr6:16238811-16295780	4.06e-08	ENSG00000137198	GMPR	0.41	true	rs6914805	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000089234	BRAP	0.42	false	-	> 0.20
rs2927477;rs10419669	2	chr19:45281126-45324677	3.97e-23	ENSG00000187244	BCAM	0.42	true	rs203713	> 0.20
rs1367117;rs515135;rs11902417;rs6725189;rs10198175;rs4128553;rs12720842;rs7569093;rs7566040;rs6739502;rs531593;rs13027175;rs6413458	4	chr2:20883803-21784185	4.48e-114	ENSG00000236436	-	0.42	true	-	> 0.20
rs174583	4	chr11:61520114-61647626	1.17e-21	ENSG00000168496	FEN1	0.42	false	rs174469	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000173064	C12orf51	0.43	false	-	> 0.20
rs12721109;rs5158	3	chr19:45445495-45541452	1.08e-72	ENSG00000104856	RELB	0.44	false	-	> 0.20
rs11136341	4	chr8:144989321-145101933	4.44e-13	ENSG00000178209	PLEC	0.44	true	rs11785060	> 0.20
rs1531517;rs2965101;rs9973286;rs8103315	1	chr19:45250962-45263301	4.21e-99	ENSG00000069399	BCL3	0.45	true	rs846897	> 0.20
rs909802	5	chr20:39657458-39989222	3.18e-19	ENSG00000198900	TOP1	0.45	false	rs8121001;rs2207309	> 0.20
rs964184;rs4417316	4	chr11:116618886-116663136	1.47e-26	ENSG00000226645	-	0.46	true	-	> 0.20
rs7251031	1	chr19:11274944-11308243	6.45e-13	ENSG00000197256	KANK2	0.46	true	rs17616620	> 0.20
rs6882076	2	chr5:156346293-156486130	1.89e-22	ENSG00000145850	TIMD4	0.48	true	-	> 0.20
rs1169288	3	chr12:121416346-121477045	1.12e-15	ENSG00000135114	OASL	0.49	false	rs2259693;rs2259693	> 0.20
rs11220462	1	chr11:126225535-126310239	1.20e-15	ENSG00000110080	ST3GAL4	0.50	true	rs529328	> 0.20
rs2807834;rs12132819	3	chr1:220921567-221005771	5.62e-11	ENSG00000186205	MOSC1	0.51	true	rs11118598	> 0.20
rs2126259	1	chr8:9106927-9271224	7.43e-15	ENSG00000254235	-	0.51	false	-	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000162650	ATXN7L2	0.52	false	-	> 0.20
rs2332328	1	chr14:24867992-24888494	4.41e-11	ENSG00000205978	NYNRIN	0.52	true	-	> 0.20
rs6511720;rs5930;rs6511718;rs12983316;rs2738456	5	chr19:10982253-11244492	4.28e-117	ENSG00000130733	YIPF2	0.54	false	rs11085749	> 0.20
rs7225700	1	chr17:45400656-45518678	3.92e-09	ENSG00000178852	C17orf57	0.56	true	-	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000229186	ADAM1	0.56	false	-	> 0.20
rs247616	1	chr16:56995762-57017757	9.25e-13	ENSG00000087237	CETP	0.58	true	rs1167742;rs1684575	> 0.20
rs649129;rs2073824	1	chr9:136131053-136150617	7.84e-22	ENSG00000175164	ABO	0.59	true	rs9411463	> 0.20
rs12027135	5	chr1:25568740-25826700	1.24e-10	ENSG00000188672	RHCE	0.60	false	-	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000143106	PSMA5	0.61	false	-	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000130287	NCAN	0.61	false	-	> 0.20
rs217386	3	chr7:44605016-44748665	4.24e-11	ENSG00000158604	TMED4	0.62	false	rs217373	> 0.20
rs4299376;rs4953023;rs4148218;rs1025447;rs4131228	4	chr2:43864412-44105605	1.73e-47	ENSG00000152527	PLEKHH2	0.63	false	rs10174938	> 0.20
rs12027135	5	chr1:25568740-25826700	1.24e-10	ENSG00000204178	TMEM57	0.63	true	rs2986161	> 0.20
rs12027135	5	chr1:25568740-25826700	1.24e-10	ENSG00000117616	C1orf63	0.64	false	rs592372;rs630931	> 0.20
rs3745157	5	chr19:45582530-45685057	1.05e-15	ENSG00000142252	GEMIN7	0.64	false	rs12978931	> 0.20
rs12027135	5	chr1:25568740-25826700	1.24e-10	ENSG00000187010	RHD	0.67	false	rs909832	> 0.20
rs2000999;rs217181;rs9302635	5	chr16:72042643-72210777	1.75e-22	ENSG00000140830	TXNL4B	0.67	true	rs10492814	> 0.20
rs2000999;rs217181;rs9302635	5	chr16:72042643-72210777	1.75e-22	ENSG00000102967	DHODH	0.67	false	rs251033	> 0.20
rs11881315;rs11085745	2	chr19:10824143-10946983	1.12e-27	ENSG00000099203	TMED1	0.69	true	rs3786724	> 0.20
rs2902941	1	chr20:39314488-39317880	1.11e-08	ENSG00000204103	MAFB	0.69	true	rs2902941	> 0.20
rs11136341	4	chr8:144989321-145101933	4.44e-13	ENSG00000186583	SPATC1	0.71	false	-	> 0.20
rs909802	5	chr20:39657458-39989222	3.18e-19	ENSG00000124181	PLCG1	0.72	false	rs6093416	> 0.20
rs1169288	3	chr12:121416346-121477045	1.12e-15	ENSG00000135100	HNF1A	0.72	true	-	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000089248	ERP29	0.74	false	rs7970397;rs7310545	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000143028	SYPL2	0.75	false	-	> 0.20
rs1169288	3	chr12:121416346-121477045	1.12e-15	ENSG00000157895	C12orf43	0.78	false	rs2259816;rs2071190	> 0.20
rs287227;rs2479409;rs11206510;rs557435;rs6662286;rs2270690;rs9436961;rs2047419	3	chr1:55505221-55683124	1.93e-28	ENSG00000244861	-	0.79	true	-	> 0.20
rs909802	5	chr20:39657458-39989222	3.18e-19	ENSG00000174306	ZHX3	0.80	true	rs1000410	> 0.20
rs3745157	5	chr19:45582530-45685057	1.05e-15	ENSG00000104866	PPP1R37	0.82	true	-	> 0.20
rs217386	3	chr7:44605016-44748665	4.24e-11	ENSG00000136271	DDX56	0.83	true	rs217372	> 0.20
rs287227;rs2479409;rs11206510;rs557435;rs6662286;rs2270690;rs9436961;rs2047419	3	chr1:55505221-55683124	1.93e-28	ENSG00000162402	USP24	0.83	true	-	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000089639	GMIP	0.84	false	rs1476459	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000143126	CELSR2	0.84	true	-	> 0.20
rs3850634	4	chr1:62901968-63176365	2.63e-18	ENSG00000235545	-	0.85	false	-	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000160161	CILP2	0.86	false	-	> 0.20
rs12027135	5	chr1:25568740-25826700	1.24e-10	ENSG00000183726	TMEM50A	0.87	false	rs1293259	> 0.20
rs964184;rs4417316	4	chr11:116618886-116663136	1.47e-26	ENSG00000137656	BUD13	0.87	false	rs1145187	> 0.20
rs7715739	1	chr5:74969949-75013313	6.47e-10	ENSG00000152359	POC5	0.88	true	rs888788	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000134222	PSRC1	0.90	true	-	> 0.20
rs1564348	2	chr6:160390131-160579750	1.70e-17	ENSG00000197081	IGF2R	0.91	false	rs3798209	> 0.20
rs3745157	5	chr19:45582530-45685057	1.05e-15	ENSG00000189114	BLOC1S3	0.92	false	-	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000031698	SARS	0.92	true	rs2477363	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000089022	MAPKAPK5	0.93	false	rs12580246;rs12426312	> 0.20
rs3850634	4	chr1:62901968-63176365	2.63e-18	ENSG00000162607	USP1	0.94	false	rs1168089	> 0.20
rs2000999;rs217181;rs9302635	5	chr16:72042643-72210777	1.75e-22	ENSG00000140829	DHX38	0.95	true	rs2240243	> 0.20
rs514230	1	chr1:234782035-234818922	9.38e-12	ENSG00000228044	-	0.96	true	-	> 0.20
rs17800760	1	chr19:44979861-45004574	1.74e-11	ENSG00000167384	ZNF180	0.96	true	-	> 0.20
rs2272021;rs10460181;rs2965156	2	chr19:45147098-45187631	5.05e-17	ENSG00000186567	CEACAM19	0.96	true	-	> 0.20
rs3745157	5	chr19:45582530-45685057	1.05e-15	ENSG00000007255	TRAPPC6A	0.97	false	rs1005451	> 0.20
rs4420638;rs395908;rs7254892;rs4803763;rs6859;rs405509;rs2972564	4	chr19:45349393-45422606	8.72e-147	ENSG00000130208	APOC1	0.97	true	-	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000134243	SORT1	0.98	true	rs10494041	> 0.20
rs2927477;rs10419669	2	chr19:45281126-45324677	3.97e-23	ENSG00000142273	CBLC	0.98	false	-	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000105726	ATP13A1	0.98	false	rs2304130	> 0.20
rs6882076	2	chr5:156346293-156486130	1.89e-22	ENSG00000113249	HAVCR1	0.98	false	-	> 0.20
rs2272021;rs10460181;rs2965156	2	chr19:45147098-45187631	5.05e-17	ENSG00000073008	PVR	0.98	true	-	> 0.20
rs1367117;rs515135;rs11902417;rs6725189;rs10198175;rs4128553;rs12720842;rs7569093;rs7566040;rs6739502;rs531593;rs13027175;rs6413458	4	chr2:20883803-21784185	4.48e-114	ENSG00000118961	C2orf43	0.98	false	rs10182643	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000178093	TSSK6	0.99	false	-	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000167491	GATAD2A	0.99	false	rs6909;rs7259773	> 0.20
rs6511720;rs5930;rs6511718;rs12983316;rs2738456	5	chr19:10982253-11244492	4.28e-117	ENSG00000142453	CARM1	0.99	false	rs11670365	> 0.20
rs909802	5	chr20:39657458-39989222	3.18e-19	ENSG00000226648	-	0.99	false	-	> 0.20
rs1030431	2	chr8:59323823-59412795	3.86e-09	ENSG00000215114	UBXN2B	1.00	true	-	> 0.20
rs2000999;rs217181;rs9302635	5	chr16:72042643-72210777	1.75e-22	ENSG00000118557	PMFBP1	1.00	false	-	> 0.20
